1,BBQNNRKR,bbqnnrkr
2,BQNBNRKR,bqnbnrkr
3,BQNNRBKR,bqnnrbkr
4,BQNNRKRB,bqnnrkrb
5,QBBNNRKR,qbbnnrkr
6,QNBBNRKR,qnbbnrkr
7,QNBNRBKR,qnbnrbkr
8,QNBNRKRB,qnbnrkrb
9,QBNNBRKR,qbnnbrkr
10,QNNBBRKR,qnnbbrkr
11,QNNRBBKR,qnnrbbkr
12,QNNRBKRB,qnnrbkrb
13,QBNNRKBR,qbnnrkbr
14,QNNBRKBR,qnnbrkbr
15,QNNRKBBR,qnnrkbbr
16,QNNRKRBB,qnnrkrbb
17,BBNQNRKR,bbnqnrkr
18,BNQBNRKR,bnqbnrkr
19,BNQNRBKR,bnqnrbkr
20,BNQNRKRB,bnqnrkrb
21,NBBQNRKR,nbbqnrkr
22,NQBBNRKR,nqbbnrkr
23,NQBNRBKR,nqbnrbkr
24,NQBNRKRB,nqbnrkrb
25,NBQNBRKR,nbqnbrkr
26,NQNBBRKR,nqnbbrkr
27,NQNRBBKR,nqnrbbkr
28,NQNRBKRB,nqnrbkrb
29,NBQNRKBR,nbqnrkbr
30,NQNBRKBR,nqnbrkbr
31,NQNRKBBR,nqnrkbbr
32,NQNRKRBB,nqnrkrbb
33,BBNNQRKR,bbnnqrkr
34,BNNBQRKR,bnnbqrkr
35,BNNQRBKR,bnnqrbkr
36,BNNQRKRB,bnnqrkrb
37,NBBNQRKR,nbbnqrkr
38,NNBBQRKR,nnbbqrkr
39,NNBQRBKR,nnbqrbkr
40,NNBQRKRB,nnbqrkrb
41,NBNQBRKR,nbnqbrkr
42,NNQBBRKR,nnqbbrkr
43,NNQRBBKR,nnqrbbkr
44,NNQRBKRB,nnqrbkrb
45,NBNQRKBR,nbnqrkbr
46,NNQBRKBR,nnqbrkbr
47,NNQRKBBR,nnqrkbbr
48,NNQRKRBB,nnqrkrbb
49,BBNNRQKR,bbnnrqkr
50,BNNBRQKR,bnnbrqkr
51,BNNRQBKR,bnnrqbkr
52,BNNRQKRB,bnnrqkrb
53,NBBNRQKR,nbbnrqkr
54,NNBBRQKR,nnbbrqkr
55,NNBRQBKR,nnbrqbkr
56,NNBRQKRB,nnbrqkrb
57,NBNRBQKR,nbnrbqkr
58,NNRBBQKR,nnrbbqkr
59,NNRQBBKR,nnrqbbkr
60,NNRQBKRB,nnrqbkrb
